q  I(q)
3.142144e-02 2.044204e+00
3.146054e-02 2.040808e+00
3.149969e-02 2.037410e+00
3.153889e-02 2.034009e+00
3.157814e-02 2.030604e+00
3.161744e-02 2.027196e+00
3.165678e-02 2.023786e+00
3.169618e-02 2.020371e+00
3.173562e-02 2.016952e+00
3.177511e-02 2.013530e+00
3.181465e-02 2.010104e+00
3.185424e-02 2.006674e+00
3.189388e-02 2.003240e+00
3.193357e-02 1.999801e+00
3.197331e-02 1.996358e+00
3.201310e-02 1.992910e+00
3.205294e-02 1.989457e+00
3.209283e-02 1.986000e+00
3.213276e-02 1.982538e+00
3.217275e-02 1.979070e+00
3.221279e-02 1.975597e+00
3.225287e-02 1.972119e+00
3.229301e-02 1.968636e+00
3.233319e-02 1.965146e+00
3.237343e-02 1.961651e+00
3.241372e-02 1.958150e+00
3.245405e-02 1.954643e+00
3.249444e-02 1.951130e+00
3.253488e-02 1.947611e+00
3.257536e-02 1.944085e+00
3.261590e-02 1.940553e+00
3.265649e-02 1.937013e+00
3.269713e-02 1.933468e+00
3.273782e-02 1.929915e+00
3.277856e-02 1.926355e+00
3.281935e-02 1.922789e+00
3.286019e-02 1.919214e+00
3.290108e-02 1.915633e+00
3.294202e-02 1.912044e+00
3.298302e-02 1.908448e+00
3.302406e-02 1.904843e+00
3.306516e-02 1.901232e+00
3.310630e-02 1.897611e+00
3.314750e-02 1.893984e+00
3.318875e-02 1.890347e+00
3.323005e-02 1.886703e+00
3.327140e-02 1.883050e+00
3.331281e-02 1.879389e+00
3.335426e-02 1.875720e+00
3.339577e-02 1.872041e+00
3.343733e-02 1.868354e+00
3.347894e-02 1.864658e+00
3.352060e-02 1.860952e+00
3.356231e-02 1.857238e+00
3.360408e-02 1.853515e+00
3.364590e-02 1.849782e+00
3.368777e-02 1.846040e+00
3.372969e-02 1.842288e+00
3.377166e-02 1.838527e+00
3.381369e-02 1.834756e+00
3.385577e-02 1.830975e+00
3.389790e-02 1.827185e+00
3.394008e-02 1.823384e+00
3.398232e-02 1.819574e+00
3.402461e-02 1.815753e+00
3.406695e-02 1.811922e+00
3.410934e-02 1.808081e+00
3.415179e-02 1.804229e+00
3.419429e-02 1.800367e+00
3.423684e-02 1.796495e+00
3.427944e-02 1.792611e+00
3.432210e-02 1.788717e+00
3.436481e-02 1.784813e+00
3.440758e-02 1.780897e+00
3.445040e-02 1.776970e+00
3.449327e-02 1.773033e+00
3.453619e-02 1.769084e+00
3.457917e-02 1.765124e+00
3.462220e-02 1.761153e+00
3.466528e-02 1.757171e+00
3.470842e-02 1.753177e+00
3.475161e-02 1.749172e+00
3.479486e-02 1.745156e+00
3.483816e-02 1.741127e+00
3.488151e-02 1.737088e+00
3.492492e-02 1.733036e+00
3.496838e-02 1.728973e+00
3.501190e-02 1.724899e+00
3.505547e-02 1.720812e+00
3.509909e-02 1.716713e+00
3.514277e-02 1.712603e+00
3.518650e-02 1.708480e+00
3.523029e-02 1.704346e+00
3.527413e-02 1.700199e+00
3.531802e-02 1.696041e+00
3.536197e-02 1.691870e+00
3.540598e-02 1.687687e+00
3.545004e-02 1.683491e+00
