q(A-1),I_linear_transform(a.u.),sigI(a.u.)
1.49445,0.046521569,8.83E-05
1.50056,0.047076487,8.88E-05
1.50667,0.047367657,8.67E-05
1.51279,0.047568578,8.82E-05
1.5189,0.047973532,8.83E-05
1.52501,0.048277278,8.83E-05
1.53112,0.048435797,8.87E-05
1.53724,0.048585982,8.85E-05
1.54335,0.048864702,8.70E-05
1.54946,0.04897057,8.81E-05
1.55557,0.049046251,8.84E-05
1.56168,0.048978222,8.77E-05
1.5678,0.04906087,8.75E-05
1.57391,0.04863619,8.65E-05
1.58002,0.048553966,8.62E-05
1.58613,0.048498321,8.64E-05
1.59225,0.048266386,8.62E-05
1.59836,0.047711461,8.59E-05
1.60447,0.047654119,8.45E-05
1.61058,0.047112537,8.42E-05
1.6167,0.046702533,8.45E-05
1.62281,0.04632352,8.34E-05
1.62892,0.045778714,8.29E-05
1.63503,0.045251068,8.19E-05
1.64115,0.044682581,8.16E-05
1.64726,0.044104834,8.07E-05
1.65337,0.043652203,8.07E-05
1.65948,0.043032149,8.04E-05
1.66559,0.042439954,7.75E-05
1.67171,0.041907443,7.80E-05
1.67782,0.041392422,7.85E-05
1.68393,0.040677608,7.71E-05
1.69004,0.039976806,7.54E-05
1.69616,0.039375498,7.47E-05
1.70227,0.03870223,7.51E-05
1.70838,0.038312271,7.43E-05
1.71449,0.037514352,7.32E-05
1.7206,0.036963833,7.20E-05
1.72672,0.03634929,7.20E-05
1.73283,0.03584844,7.17E-05
1.73894,0.035110108,7.02E-05
1.74505,0.034635681,6.95E-05
1.75117,0.033973137,6.89E-05
1.75728,0.033332173,6.83E-05
1.76339,0.032910724,6.78E-05
1.7695,0.03239093,6.66E-05
1.77561,0.031833988,6.65E-05
1.78173,0.031328213,6.59E-05
1.78784,0.03078904,6.55E-05
1.79395,0.030278811,6.40E-05
1.80006,0.029920575,6.39E-05
1.80618,0.029428197,6.36E-05
1.81229,0.028898729,6.28E-05
1.8184,0.028536815,6.17E-05
1.82451,0.02809708,6.16E-05
1.83062,0.027707508,6.15E-05
1.83674,0.027213652,6.04E-05
1.84285,0.026773391,5.88E-05
1.84896,0.026449817,5.96E-05
1.85507,0.026093086,5.91E-05
1.86119,0.025677281,5.86E-05
1.8673,0.025346703,5.78E-05
1.87341,0.025033241,5.71E-05
1.87952,0.024635275,5.72E-05
1.88564,0.024352947,5.57E-05
1.89175,0.02404147,5.60E-05
1.89786,0.023690345,5.60E-05
1.90397,0.023433841,5.46E-05
1.91009,0.023121804,5.43E-05
1.9162,0.022760293,5.45E-05
1.92231,0.022461482,5.37E-05
1.92842,0.022242422,5.29E-05
1.93453,0.02208845,5.35E-05
1.94065,0.02189227,5.30E-05
1.94676,0.02153937,5.14E-05
1.95287,0.021271562,5.17E-05
1.95898,0.021025849,5.17E-05
1.9651,0.020736006,5.06E-05
