q,I,dI
0.189565479,195.2508707,0
0.18971108,195.0485592,0
0.189856794,194.84614,0
0.190002619,194.6436132,0
0.190148556,194.4409792,0
0.190294605,194.2382382,0
0.190440766,194.0353906,0
0.19058704,193.8324365,0
0.190733426,193.6293762,0
0.190879924,193.4262102,0
0.191026535,193.2229385,0
0.191173258,193.0195615,0
0.191320095,192.8160796,0
0.191467044,192.6124929,0
0.191614105,192.4088017,0
0.19176128,192.2050064,0
0.191908568,192.0011073,0
0.192055969,191.7971045,0
0.192203483,191.5929984,0
0.192351111,191.3887894,0
0.192498851,191.1844776,0
0.192646706,190.9800634,0
0.192794674,190.7755471,0
0.192942755,190.570929,0
0.193090951,190.3662093,0
0.19323926,190.1613883,0
0.193387683,189.9564665,0
0.19353622,189.7514439,0
0.193684871,189.5463211,0
0.193833636,189.3410982,0
0.193982516,189.1357755,0
0.19413151,188.9303535,0
0.194280618,188.7248322,0
0.194429841,188.5192122,0
0.194579178,188.3134936,0
0.194728631,188.1076769,0
0.194878198,187.9017622,0
0.19502788,187.6957499,0
0.195177676,187.4896404,0
0.195327588,187.2834338,0
0.195477615,187.0771307,0
0.195627758,186.8707311,0
0.195778015,186.6642356,0
0.195928388,186.4576443,0
0.196078877,186.2509577,0
0.196229481,186.0441759,0
0.196380201,185.8372995,0
0.196531036,185.6303285,0
0.196681987,185.4232635,0
0.196833055,185.2161047,0
0.196984238,185.0088524,0
0.197135538,184.801507,0
0.197286953,184.5940688,0
0.197438485,184.3865381,0
0.197590134,184.1789152,0
0.197741899,183.9712005,0
0.19789378,183.7633943,0
0.198045778,183.555497,0
0.198197893,183.3475088,0
0.198350125,183.1394301,0
0.198502473,182.9312613,0
0.198654939,182.7230027,0
0.198807521,182.5146546,0
0.198960221,182.3062173,0
0.199113039,182.0976912,0
0.199265973,181.8890767,0
0.199419025,181.6803741,0
0.199572195,181.4715836,0
0.199725482,181.2627058,0
0.199878887,181.0537409,0
0.20003241,180.8446892,0
0.20018605,180.6355511,0
0.200339809,180.426327,0
0.200493686,180.2170172,0
0.200647681,180.0076221,0
0.200801794,179.798142,0
0.200956026,179.5885772,0
0.201110376,179.3789282,0
0.201264845,179.1691952,0
0.201419432,178.9593787,0
0.201574138,178.749479,0
0.201728963,178.5394965,0
0.201883907,178.3294314,0
0.20203897,178.1192843,0
0.202194152,177.9090553,0
0.202349453,177.698745,0
0.202504873,177.4883537,0
0.202660413,177.2778816,0
0.202816072,177.0673293,0
0.202971851,176.8566971,0
0.203127749,176.6459853,0
0.203283767,176.4351943,0
0.203439905,176.2243245,0
0.203596163,176.0133763,0
0.203752541,175.80235,0
0.203909039,175.591246,0
0.204065658,175.3800647,0
0.204222396,175.1688065,0
0.204379255,174.9574717,0
0.204536235,174.7460607,0
0.204693335,174.534574,0
0.204850555,174.3230118,0
0.205007897,174.1113746,0
0.205165359,173.8996627,0
0.205322942,173.6878766,0
0.205480647,173.4760167,0
0.205638472,173.2640832,0
0.205796419,173.0520767,0
0.205954487,172.8399974,0
0.206112676,172.6278459,0
0.206270987,172.4156224,0
0.206429419,172.2033274,0
0.206587973,171.9909613,0
0.206746649,171.7785245,0
0.206905447,171.5660173,0
0.207064367,171.3534402,0
0.207223409,171.1407935,0
0.207382572,170.9280778,0
0.207541859,170.7152933,0
0.207701267,170.5024404,0
0.207860798,170.2895197,0
0.208020452,170.0765314,0
0.208180228,169.863476,0
0.208340127,169.6503539,0
0.208500149,169.4371656,0
0.208660293,169.2239113,0
0.208820561,169.0105916,0
0.208980952,168.7972068,0
0.209141465,168.5837574,0
0.209302103,168.3702438,0
0.209462863,168.1566663,0
0.209623747,167.9430255,0
0.209784755,167.7293217,0
0.209945886,167.5155553,0
0.210107141,167.3017268,0
0.21026852,167.0878366,0
0.210430023,166.8738851,0
0.21059165,166.6598727,0
0.210753401,166.4457999,0
0.210915276,166.2316671,0
0.211077276,166.0174747,0
0.2112394,165.8032231,0
0.211401648,165.5889129,0
0.211564022,165.3745443,0
0.21172652,165.1601179,0
0.211889142,164.945634,0
0.21205189,164.7310932,0
0.212214763,164.5164958,0
0.21237776,164.3018423,0
0.212540883,164.0871331,0
0.212704131,163.8723687,0
0.212867505,163.6575494,0
0.213031004,163.4426759,0
0.213194629,163.2277484,0
0.213358379,163.0127674,0
0.213522255,162.7977334,0
0.213686257,162.5826469,0
0.213850385,162.3675082,0
0.214014639,162.1523178,0
0.214179019,161.9370762,0
0.214343526,161.7217838,0
0.214508159,161.5064411,0
0.214672918,161.2910486,0
0.214837804,161.0756066,0
0.215002816,160.8601156,0
0.215167955,160.6445762,0
0.215333221,160.4289887,0
0.215498614,160.2133536,0
0.215664134,159.9976714,0
0.215829781,159.7819425,0
0.215995556,159.5661674,0
0.216161457,159.3503466,0
