<X> <Y> <dY> <dX>
1.759200000000000e-01 1.778830000000000e+07 5.327580000000000e+08 3.606110000000000e+08
1.765890000000000e-01 2.063390000000000e+07 6.166710000000000e+08 4.164290000000000e+08
1.772580000000000e-01 2.335460000000000e+07 6.930690000000000e+08 4.666640000000000e+08
1.779260000000000e-01 2.581650000000000e+07 7.579550000000000e+08 5.086590000000000e+08
1.785950000000000e-01 2.790870000000000e+07 8.081380000000000e+08 5.403140000000000e+08
1.792640000000000e-01 2.954920000000000e+07 8.413970000000000e+08 5.601920000000000e+08
1.799330000000000e-01 3.068800000000000e+07 8.565840000000000e+08 5.675930000000000e+08
1.806020000000000e-01 3.130910000000000e+07 8.536610000000000e+08 5.625670000000000e+08
1.812710000000000e-01 3.142880000000000e+07 8.336540000000000e+08 5.458890000000000e+08
1.819400000000000e-01 3.109290000000000e+07 7.985570000000000e+08 5.189880000000000e+08
1.826090000000000e-01 3.037150000000000e+07 7.511650000000000e+08 4.838390000000000e+08
1.832780000000000e-01 2.935300000000000e+07 6.948700000000000e+08 4.428170000000000e+08
1.839460000000000e-01 2.813680000000000e+07 6.334280000000000e+08 3.985420000000000e+08
1.846150000000000e-01 2.682530000000000e+07 5.707090000000000e+08 3.537060000000000e+08
1.852840000000000e-01 2.551700000000000e+07 5.104450000000000e+08 3.109050000000000e+08
1.859530000000000e-01 2.429980000000000e+07 4.560080000000000e+08 2.724850000000000e+08
1.866220000000000e-01 2.324510000000000e+07 4.102070000000000e+08 2.404010000000000e+08
1.872910000000000e-01 2.240370000000000e+07 3.751390000000000e+08 2.161160000000000e+08
1.879600000000000e-01 2.180390000000000e+07 3.520840000000000e+08 2.005280000000000e+08
1.886290000000000e-01 2.145010000000000e+07 3.414620000000000e+08 1.939370000000000e+08
1.892980000000000e-01 2.132440000000000e+07 3.428450000000000e+08 1.960510000000000e+08
1.899670000000000e-01 2.138930000000000e+07 3.550230000000000e+08 2.060300000000000e+08
1.906350000000000e-01 2.159140000000000e+07 3.761160000000000e+08 2.225620000000000e+08
1.913040000000000e-01 2.186650000000000e+07 4.037300000000000e+08 2.439650000000000e+08
1.919730000000000e-01 2.214560000000000e+07 4.351370000000000e+08 2.683110000000000e+08
1.926420000000000e-01 2.235990000000000e+07 4.674650000000000e+08 2.935610000000000e+08
1.933110000000000e-01 2.244710000000000e+07 4.978990000000000e+08 3.176960000000000e+08
1.939800000000000e-01 2.235550000000000e+07 5.238610000000000e+08 3.388520000000000e+08
1.946490000000000e-01 2.204830000000000e+07 5.431750000000000e+08 3.554260000000000e+08
1.953180000000000e-01 2.150640000000000e+07 5.541900000000000e+08 3.661760000000000e+08
1.959870000000000e-01 2.072890000000000e+07 5.558730000000000e+08 3.702820000000000e+08
1.966560000000000e-01 1.973380000000000e+07 5.478480000000000e+08 3.673810000000000e+08
1.973240000000000e-01 1.855590000000000e+07 5.303990000000000e+08 3.575760000000000e+08
1.979930000000000e-01 1.724410000000000e+07 5.044240000000000e+08 3.414090000000000e+08
1.986620000000000e-01 1.585800000000000e+07 4.713490000000000e+08 3.198050000000000e+08
1.993310000000000e-01 1.446300000000000e+07 4.330170000000000e+08 2.940020000000000e+08
2.000000000000000e-01 1.312610000000000e+07 3.915460000000000e+08 2.654540000000000e+08
